ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Pie/cake mixed varieties,384,1605,30.1,4.0,41.0,41.0,22.5,1.4
Pine nuts raw,635,2654,2.4,27.0,13.5,13.5,52.5,3.6
Pineapple fresh,61,256,83.4,0.5,13.5,13.5,0.2,1.4
Pineapple juice,50,211,86.4,0.8,11.5,11.5,0.0,0.3
Pistachios roasted salted,606,2533,11.6,17.5,8.4,8.4,55.5,6.0
Pistachios unsalted,649,2713,0.0,19.5,24.0,24.0,51.5,9.4
Pizza mixed varieties ready-to-eat,203,852,56.1,9.0,25.7,25.7,6.8,1.4
Pizza vegetarian mixed variet,171,719,59.5,7.5,26.0,26.0,3.5,2.5
Plaice flatfish cooked,179,752,66.5,21.0,1.5,1.5,10.0,0.0
Plaice flatfish raw,94,393,73.0,19.0,0.0,0.0,2.0,0.0
PlantaIns fresh,137,575,64.4,1.0,31.5,31.5,0.2,1.9
Plum juice,58,245,84.5,0.6,13.5,13.5,0.1,0.3
Plums dried uncooked,221,927,36.0,2.0,45.0,45.0,0.0,16.0
Plums fresh,60,255,83.6,0.8,12.0,12.0,0.6,2.0
Plums mixed varieties fresh,56,235,84.5,0.6,12.0,12.0,0.2,1.7
Pollock Atlantic frozen,76,320,80.6,18.0,0.0,0.0,0.4,0.0
Pollock Atlantic raw,80,333,80.0,17.2,0.0,0.0,1.2,0.0
Pomegranate fresh,85,360,77.3,1.0,17.5,17.5,0.7,2.5
Pomegranate juice bottled,45,189,87.7,0.2,10.5,10.5,0.1,0.5
Popcorn,376,1575,7.9,12.5,70.0,70.0,3.6,5.0
Poppy seed,503,2103,12.8,20.0,4.2,4.2,41.5,20.5
Pork belly raw,384,1605,46.4,15.0,0.1,0.1,36.5,0.0
Pork cheeks raw,533,2228,33.2,10.0,0.1,0.1,55.8,0.0
Pork chops bone-in raw,196,824,66.4,19.0,0.1,0.1,13.5,0.0
Pork chops in peanut sauce,215,904,61.2,13.5,10.5,10.5,13.3,0.5
Pork chops neck cooked,275,1149,53.0,27.5,0.0,0.0,18.5,0.0
Pork chops neck raw,195,818,66.4,19.4,0.0,0.0,13.2,0.0
Pork cured legham pan-broil ,129,542,72.6,18.2,1.7,1.7,5.5,0.0
Pork cured legham roasted,116,488,75.1,19.2,0.6,0.6,4.1,0.0
Pork kidneys raw,113,474,77.2,16.5,0.1,0.1,5.2,0.0
Pork liver cooked,198,830,59.0,28.5,4.0,4.0,7.5,0.0
Pork loin filets,144,604,70.4,22.7,0.0,0.0,5.9,0.0
Pork loin raw,116,488,73.1,23.5,0.0,0.0,2.4,0.0
Pork ribeye entrecote,144,604,70.0,22.7,1.0,1.0,5.9,0.0
Pork roast fricandeau,124,522,72.4,23.0,0.1,0.1,3.5,0.0
Pork sausage canned cooked,320,1337,54.2,13.2,2.5,2.5,29.1,0.0
Pork shoulder chops,195,818,66.4,19.4,0.0,0.0,13.2,0.0
Pork shoulder raw,217,909,63.4,20.4,0.0,0.0,15.2,0.0
Pork spareribs raw,280,1170,58.1,16.8,0.1,0.1,24.0,0.0
Pork tenderloin raw,119,502,73.1,22.8,0.0,0.0,3.1,0.0
Pork variety meat raw,111,468,75.0,21.0,0.0,0.0,3.0,0.0
Port 19 % v/v,150,627,73.0,0.0,13.0,13.0,0.0,0.0
Potato baked,126,529,73.0,2.0,16.0,16.0,5.5,2.5
Potato chips plain average,557,2328,5.0,5.5,43.0,43.0,39.5,6.0
Potato chips plain light ,479,2002,3.7,6.5,61.0,61.0,22.0,5.8
Potato flour,329,1375,17.9,0.1,81.0,81.0,0.0,0.0
Potato sticks mashed breaded,223,936,55.8,3.2,27.0,27.0,11.0,2.0
Potatoes cooked no skin,82,346,77.4,2.0,17.0,17.0,0.1,2.5
Potatoes mashed instant prepared,99,418,79.3,3.5,12.0,12.0,4.2,0.0
Potatoes raw,85,357,76.7,2.0,17.6,17.6,0.1,2.6
Potatoes sliced prebaked,141,591,68.5,2.0,20.5,20.5,5.0,3.0
Poultry meat ground mixed variaties,136,568,70.0,20.2,0.0,0.0,6.1,0.0
Pretzel,395,1654,5.7,9.3,80.0,80.0,3.6,0.4
Puddings dry mix chocolate,356,1488,13.2,3.2,80.0,80.0,2.0,0.6
Puddings dry mix mixed varieties,358,1496,10.4,0.0,88.0,88.0,0.0,0.6
Puddings mixed varieties home prepared,135,569,67.7,3.8,21.3,21.3,3.2,3.0
Puddings rice ready-to-eat,81,342,82.2,3.5,10.0,10.0,3.0,0.3
Puff pastry light frozen,380,1588,31.8,5.5,37.5,37.5,23.0,1.2
Pumpkin cooked,17,73,94.4,0.6,2.5,2.5,0.3,1.2
Pumpkin raw,36,153,89.7,1.1,7.0,7.0,0.2,1.0
Pumpkin seeds,345,1442,38.6,24.5,7.0,7.0,23.5,5.4
Purslane cooked,21,88,92.5,2.0,2.0,2.0,0.0,2.5
Purslane raw,17,73,93.6,1.2,1.5,1.5,0.2,2.5
Quail meat and skin raw,190,796,65.9,19.5,0.1,0.1,12.5,0.0
Quark cottage cheese half and half,100,421,79.5,12.0,3.0,3.0,4.5,0.0
Quark cottage cheese non-fat,71,299,82.0,13.0,3.5,3.5,0.5,0.0
Quiche vegetable type,321,1341,,,,,26.0,
Quinces fresh,69,291,80.9,0.5,15.5,15.5,0.1,2.0
Quinoa uncooked,392,1639,8.5,16.2,63.9,63.9,6.9,3.5
Quorn meat substitute,141,594,64.2,14.0,12.7,12.7,2.6,5.5
Rabbit game meat domesticated,173,727,68.0,21.0,0.0,0.0,10.0,0.0
Rabbit game meat wild raw,133,559,72.0,22.0,0.0,0.0,5.0,0.0
Radishes black fresh,32,136,90.6,2.0,5.0,5.0,0.2,1.2
Radishes fresh,18,76,94.1,1.0,2.5,2.5,0.2,1.2
Raisins mixed varieties,329,1375,13.0,2.0,75.0,75.0,0.0,9.0
Raisins seedles,291,1216,24.5,2.5,66.5,66.5,0.1,5.4
Rapeseed oil,875,3658,1.0,0.0,0.0,0.0,99.0,0.0
Raspberries fresh,68,286,76.0,1.2,14.3,14.3,0.5,7.0
Ratatouille cooked,51,215,88.2,1.4,4.9,4.9,2.5,2.0
Ravioli cooked,101,427,77.9,4.0,13.5,13.5,3.5,0.1
Ray fish raw,85,355,79.0,20.7,0.0,0.0,0.2,0.0
Real chervil dried,305,1274,22.0,23.5,39.0,39.0,3.5,11.0
Real chervil fresh,75,316,81.1,4.0,12.0,12.0,1.0,0.9
Red berries fresh,51,213,82.9,1.1,7.9,7.9,0.1,7.9
Red berry juice,38,160,88.6,0.0,9.4,9.4,0.0,0.0
Redfish raw,105,442,77.2,18.2,0.0,0.0,3.6,0.0
Rhubarb cooked with sugar,87,368,76.4,0.5,20.0,20.0,0.1,2.0
Rhubarb raw,14,62,94.4,0.5,2.0,2.0,0.1,2.0
Rice basmati raw,354,1480,11.6,7.0,78.5,78.5,0.6,1.3
Rice brown regular cooked,137,575,65.3,3.2,26.0,26.0,1.5,3.0
Rice brown regular raw,361,1509,10.3,7.5,75.0,75.0,2.2,4.0
Rice cake brown rice milled corn,350,1464,79.0,9.9,77.7,77.7,0.0,3.5
Rice cake brown rice multigrain,380,1588,6.5,10.0,75.0,75.0,3.0,4.5
Rice cake brown rice plain,374,1563,8.5,8.0,74.5,74.5,3.5,4.5
Rice flour white,359,1501,11.1,7.5,79.5,79.5,0.7,0.2
Rice white regular cooked,96,403,75.3,2.5,20.0,20.0,0.4,0.8
Rice white regular raw,355,1484,11.5,7.0,78.5,78.5,0.7,1.3
Roast beef lean,168,705,64.2,28.3,0.8,0.8,5.7,0.0
Roast fricandeau pork cooked,152,637,64.9,31.2,0.0,0.0,2.9,0.0
Roast fricandeau pork fried,128,538,71.8,21.0,2.4,2.4,3.8,0.0
Roast fricandeau veal,104,439,74.7,23.0,0.0,0.0,1.3,0.0
Roe fish eggs mixed species raw,150,630,67.9,26.0,0.0,0.0,5.1,0.0
Rose hip fresh,95,395,50.5,3.5,19.5,19.5,0.1,
Rose hip heavy syrup,223,935,44.0,0.0,55.0,55.0,0.0,0.0
Rose hip jam,256,1070,35.4,0.1,62.5,62.5,0.0,1.0
Rosemary dried,380,1588,13.5,4.5,45.0,45.0,16.0,20.0
Rum 43 % v/v,229,957,67.0,0.0,0.0,0.0,0.0,0.0
Rusk Dutch,392,1639,6.9,12.3,70.8,70.8,5.5,3.5
Rusk Dutch whole weat,389,1626,6.9,16.0,62.0,62.0,6.6,7.5
Russian salad diced potatoes beef,170,715,68.5,6.0,12.5,12.5,10.5,1.5
Rutabagas raw,24,102,90.3,1.0,5.0,5.0,0.2,2.5
Rye flour,305,1274,16.8,7.6,56.6,56.6,1.5,16.5
Rösti ready-to-eat,134,563,68.2,2.5,21.5,21.5,3.5,3.3
Safflower oil,883,3691,0.0,0.0,0.0,0.0,100.0,0.0
Salad dressing mayonnaise type light,372,1555,51.2,0.7,9.6,9.6,37.4,0.1
Salad dressing mayonnaise-type 25 % oil,269,1124,62.5,1.0,10.0,10.0,25.5,0.0
Salad dressing mayonnaise-type 40 % oil,382,1597,51.9,1.1,6.0,6.0,40.0,0.0
Salad dressing non-fat,49,207,86.7,0.1,12.0,12.0,0.0,0.2
Salmon Atlantic raw,220,924,63.1,20.2,0.0,0.0,15.7,0.0
Salmon canned,164,688,67.7,23.5,0.0,0.0,7.8,0.0
Salmon mixed varieties raw,200,839,65.5,20.0,0.0,0.0,13.5,0.0
Salmon smoked,200,839,62.8,25.0,0.0,0.0,11.2,0.0
Salsify root raw,90,378,73.8,3.3,18.5,18.5,0.2,3.2
Salt table,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sambal Ulek red chillies mixed varieties,25,110,93.0,2.0,3.5,3.5,0.5,0.0
Samphire fresh raw,45,188,87.0,3.1,9.1,9.1,0.7,0.5
Sardines in oil canned,220,922,61.9,22.5,0.0,0.0,14.6,0.0
Sardines or pilchards raw,115,485,75.4,19.4,0.0,0.0,4.2,0.0
Satay sauce,275,1149,53.5,8.5,18.0,18.0,19.0,0.0
Sauce white roux,87,365,83.9,2.5,7.0,7.0,5.5,0.1
Sauerkraut canned,12,51,96.0,2.0,1.0,1.0,0.0,0.0
Sausage Frankfurters,305,1274,57.8,11.5,0.7,0.7,29.0,0.0
Sausage pork pre-cooked,293,1224,58.5,10.9,2.5,2.5,27.1,0.0
Sausage salami pork,375,1568,46.5,19.5,0.1,0.1,33.0,0.0
Sausage smoked lean pork,245,1024,60.1,15.0,5.0,5.0,18.5,0.4
Sausage smoked pork,322,1345,54.3,14.3,0.9,0.9,29.5,0.0
Scallop mixed species raw,72,304,81.2,15.5,2.2,2.2,0.1,0.0
Scampi or Langoustine,86,360,78.1,17.5,1.3,1.3,1.1,0.0
Schnitzel not breaded,120,503,73.0,22.9,0.0,0.0,3.1,0.0
Schnitzel vegetarian breaded,188,787,58.0,16.0,8.5,8.5,10.0,5.0
Sea bass mixed species raw,120,503,72.7,23.5,0.0,0.0,2.8,0.0
Seaweed mixed varieties dried,280,1170,12.0,11.5,55.0,55.0,1.2,
Seitan,106,447,71.9,22.1,3.8,3.8,0.2,1.0
Seitan cooked,135,568,64.3,24.0,9.0,9.0,0.2,1.5
Semolina cooked with milk,103,434,77.0,4.0,15.0,15.0,3.0,0.0
Semolina corn flour,343,1434,12.6,10.3,70.0,70.0,0.8,5.3
Sesame oil,883,3691,0.0,0.0,0.0,0.0,100.0,0.0
Sesame paste tahin,568,2374,7.0,21.5,6.5,6.5,51.5,12.5
Sesame seeds,581,2429,11.1,20.9,6.0,6.0,53.5,7.5
Shallots raw,32,134,89.9,1.8,7.3,7.3,0.2,2.6
Shark oil,879,3674,0.0,0.0,0.0,0.0,99.5,0.0
Sherry dry 15 % v/v,90,278,83.5,0.2,1.4,1.4,0.0,0.0
Sherry medium 15 % v/v,110,460,83.0,0.0,3.0,3.0,0.0,0.0
Sherry sweet 15 % v/v,115,483,77.5,0.3,7.0,7.0,0.0,0.0
Shrimp North Sea raw,91,384,78.6,18.5,0.0,0.0,1.9,0.0
Shrimp gray or brown,90,380,79.0,18.0,0.0,0.0,2.0,0.0
Shrimp paste Asian trassi,200,839,55.5,35.0,3.5,3.5,5.0,0.0
Snail Vineyard raw,82,343,79.0,16.0,2.0,2.0,1.0,0.0
Snow peas raw,47,197,86.3,2.5,7.5,7.5,0.2,2.5
Sorrel raw,35,147,89.7,2.0,6.0,6.0,0.3,
Souo cream of mushroom,66,278,87.7,1.7,4.9,4.9,4.5,0.2
Soup brown beans,61,258,84.2,3.2,6.8,6.8,2.4,2.4
Soup chicken noodle,26,112,93.1,2.4,2.5,2.5,0.8,0.2
Soup cream of onion,39,167,91.6,1.7,3.6,3.6,2.1,0.0
Soup cream of vegetables,41,175,91.6,1.0,3.0,3.0,2.9,0.5
Soup fish mixed varieties,32,136,92.5,2.0,3.0,3.0,1.4,0.1
Soup goulash Hungarian style,51,216,89.8,1.2,5.0,5.0,3.0,0.0
Soup minestrone,46,196,89.1,3.2,4.0,4.0,2.0,0.7
Soup oxtail,30,127,92.3,1.5,4.5,4.5,0.7,0.0
Soup pea green,64,268,84.2,2.8,6.8,6.8,2.2,3.0
Soup vegetarian vegetable ,16,70,95.2,0.8,1.8,1.8,0.7,0.5
Sour cream full fat,185,773,73.7,2.8,3.5,3.5,18.0,0.0
Soy flour full-fat raw,427,1785,5.0,37.5,23.0,23.0,20.5,12.0
Soy oil,882,3687,0.0,0.0,0.0,0.0,99.9,0.0
Soy sauce salted tamari,128,539,67.4,11.5,20.0,20.0,0.1,0.0
Soy sauce sweet tamari,266,1111,33.4,3.5,62.0,62.0,0.1,0.0
Soy yogurt plain,91,383,79.2,4.7,12.0,12.0,2.7,0.4
Soybean sprouts raw,75,316,81.5,7.0,4.5,4.5,2.5,3.5
Soybeans dried,428,1789,9.5,37.0,29.5,29.5,18.0,5.0
Soydrink,34,143,92.5,3.6,0.5,0.5,2.0,0.4
Soymilk plain,38,163,91.6,3.8,1.0,1.0,2.2,0.4
Spaghetti/macaroni with tomatosauce,117,492,76.5,4.2,11.9,11.9,5.9,0.5
Spelt,354,1481,5.4,12.2,69.3,69.3,2.6,10.5
Spelt flour,361,1509,10.8,13.3,69.6,69.6,2.8,2.5
Spinach cooked,16,71,92.1,3.6,0.6,0.6,0.0,2.7
Spinach raw,15,63,93.6,2.5,0.6,0.6,0.3,2.0
Sprat Atlantic fish fillet,222,932,63.0,20.0,0.0,0.0,16.0,0.0
Spring rolls Chinese,207,870,58.5,8.5,20.0,20.0,10.0,2.0
Squab pigeon raw,287,1200,56.5,18.5,0.0,0.0,24.0,0.0
Squid mixed species cooked fried,147,618,68.5,24.5,1.0,1.0,5.0,0.0
Squid mixed species raw,80,338,81.1,16.2,0.0,0.0,1.7,0.0
Squid rings fried,429,1793,29.7,25.0,13.2,13.2,31.1,0.0
Stock dry cubes unprepared meat,237,996,54.0,16.0,16.0,16.0,12.0,1.0
Stock dry herbs and spices unprepared,180,756,59.7,18.0,15.0,15.0,5.0,1.3
Stock prepared,6,28,97.9,0.5,0.1,0.1,0.5,0.0
Stockfish hydrated,138,581,66.0,32.0,0.0,0.0,1.0,0.0
Stockfishfresh dried not salted,342,1430,17.0,80.0,0.0,0.0,2.0,0.0
Strawberries fresh,36,154,89.3,0.8,6.5,6.5,0.4,2.0
Sugar brown powdered,387,1618,3.5,0.0,95.5,95.5,0.0,0.0
Sugar cain,390,1630,4.0,0.0,96.0,96.0,0.0,0.0
Sugar granulated,406,1697,0.0,0.0,100.0,100.0,0.0,0.0
Sugar powdered,406,1697,0.0,0.0,100.0,100.0,0.0,0.0
Sugar white,402,1680,1.0,0.0,99.0,99.0,0.0,0.0
Sunflower oil,881,3683,0.0,0.0,0.0,0.0,99.8,0.0
Sunflower seed kernels,629,2629,4.0,27.0,10.5,10.5,53.0,4.5
Surimi fish paste,105,443,74.1,15.5,8.4,8.4,1.0,0.0
Sweet potato raw,96,402,74.1,1.3,21.0,21.0,0.1,2.5
Sweeteners tabletop mixed varieties,0,0,0.1,0.0,0.0,0.0,0.0,0.0
Swordfish raw,119,498,74.0,19.5,0.0,0.0,4.5,0.0
Syrup heavy mixed varieties,292,1220,26.0,0.0,72.0,72.0,0.0,0.0
Syrup table blend beetsugar,304,1270,24.0,0.0,75.0,75.0,0.0,0.0
Syrups grenadine mixed varieties,223,935,44.0,0.0,55.0,55.0,0.0,0.0
Taco shells dried,506,2115,2.5,7.5,62.0,62.0,25.0,2.0
Tangerines mandarin oranges fresh,49,209,86.0,0.7,10.1,10.1,0.3,1.9
Tapioca flour,349,1459,13.2,0.6,85.0,85.0,0.2,0.0
Tea black brewed,0,0,100.0,0.0,0.0,0.0,0.0,0.0
Tea black brewed with sugar,10,45,96.3,0.0,2.7,2.7,0.0,0.0
Tea black unprepared,353,1476,16.0,22.5,59.0,59.0,2.5,0.0
Tea green brewed,0,0,100.0,0.0,0.0,0.0,0.0,0.0
Teff seeds,358,1496,11.4,9.6,73.0,73.0,2.0,3.0
Tempeh,151,636,69.2,12.0,5.5,5.5,8.3,4.0
Teriyaki sauce,90,379,76.7,6.1,16.2,16.2,0.0,0.0
Thymus veal raw,89,375,78.9,18.4,0.0,0.0,1.7,0.0
Tilapia freshwater fish raw,114,481,76.3,17.9,0.0,0.0,4.8,0.0
Tofu extra firm raw,121,510,74.0,12.0,1.5,1.5,6.5,5.0
Tomato juice canned,18,78,94.0,0.8,3.1,3.1,0.1,1.0
Tomato ketchup,119,500,69.4,0.5,28.5,28.5,0.1,0.5
Tomato paste canned conc. 30 %,76,320,78.6,3.5,14.0,14.0,0.0,2.9
Tomato sauce canned,51,216,85.9,1.4,9.2,9.2,1.9,0.6
Tomatoes red raw,19,81,93.9,1.0,2.9,2.9,0.2,1.0
Tongue beef,188,782,68.5,17.3,0.0,0.0,13.2,0.0
Tongue veal,167,702,70.5,17.6,0.0,0.0,10.9,0.0
Tonic water carbonated,38,161,89.5,0.0,9.5,9.5,0.0,0.0
Tortilla chips,509,2133,0.7,7.1,66.5,66.5,23.6,1.1
Trout mixed species cooked,132,553,72.1,22.1,0.0,0.0,4.8,0.0
Trout mixed species raw,126,526,76.0,18.4,0.0,0.0,5.8,0.0
Trout rainbow char cooked,162,681,68.3,22.7,0.0,0.0,8.0,0.0
Truffles black,34,145,90.0,5.5,1.0,1.0,0.5,2.0
Tuna canned in oil,190,797,64.2,24.5,0.0,0.0,10.3,0.0
Tuna canned in water,114,480,72.0,25.9,0.0,0.0,1.1,0.0
Tuna raw,96,402,76.5,21.5,0.0,0.0,1.0,0.0
Turbot european raw,84,355,80.2,17.0,0.0,0.0,1.8,0.0
Turkey all classes meat and skin raw,141,592,71.2,21.8,0.0,0.0,6.0,0.0
Turkey breast meat only raw,106,446,74.4,22.6,0.6,0.6,1.4,0.0
Turkey leg meat and skin raw,115,479,70.0,20.5,0.0,0.0,3.6,0.0
Turnips raw,25,106,91.9,1.5,3.4,3.4,0.2,2.0
Veal retail cuts lean,104,439,75.0,22.4,0.0,0.0,1.6,0.0
Veal retail cuts lean and fat,170,713,68.9,20.0,0.0,0.0,10.1,0.0
Veal ribeye entrecôte,180,757,66.8,21.5,0.2,0.2,10.5,0.0
Veal ribeye entrecôte cooked,199,837,61.5,26.5,1.0,1.0,10.0,0.0
Veal shank meat,112,469,74.8,21.3,0.0,0.0,2.9,0.0
Vegetable spread cucumber,160,674,72.4,1.4,13.8,13.8,11.2,0.2
Vegetable spread regular,205,862,63.3,2.6,13.8,13.8,14.8,4.5
Vermicelli pasta raw,361,1509,10.8,10.0,75.0,75.0,1.5,1.7
Vermouth 12 % v/v,150,630,71.0,0.0,16.5,16.5,0.0,0.0
Vieux 35 % v/v,248,1040,63.5,0.0,1.5,1.5,0.0,0.0
Vinegar balsamico,77,326,79.8,0.2,19.0,19.0,0.0,0.0
Vinegar distilled,1,5,98.5,0.0,0.5,0.5,0.0,0.0
Waffles Belgian style,459,1919,13.4,6.0,56.0,56.0,23.5,0.1
Walnut oil,879,3674,0.0,0.0,0.0,0.0,99.5,0.0
Walnuts raw,675,2822,2.0,14.4,12.1,12.1,62.5,8.0
Water bottled carbonated,0,0,100.0,0.0,0.0,0.0,0.0,0.0
Water bottled mixed varieites,0,0,100.0,0.0,0.0,0.0,0.0,0.0
Water bottled non-carbonated,0,0,100.0,0.0,0.0,0.0,0.0,0.0
Watercress raw,20,84,93.6,1.6,2.0,2.0,0.3,1.5
Watermelon fresh,37,159,89.3,0.6,7.8,7.8,0.2,1.1
Wheat bran crude,317,1325,9.0,17.0,25.0,25.0,8.0,40.0
Wheat flour self-rising,343,1434,14.3,10.5,71.0,71.0,1.0,2.2
Wheat flour white,332,1388,12.9,11.4,62.2,62.2,1.5,11.0
Wheat flour whole-grain,346,1446,14.5,11.4,69.8,69.8,1.5,1.8
Wheat germ oil,879,3674,0.0,0.0,0.0,0.0,99.5,0.0
Wheat germs,391,1634,9.5,27.0,45.0,45.0,9.5,8.0
Wheat whole grain raw,329,1375,14.5,12.4,59.5,59.5,2.0,10.6
Whipped cream sweetened,355,1484,48.0,2.0,18.0,18.0,31.0,0.0
Whipping cream,337,1409,58.2,2.0,2.8,2.8,36.0,0.0
Whiskey 40 % v/v,277,1160,60.0,0.0,0.0,0.0,0.0,0.0
Whiting mixed species raw,85,358,79.3,18.5,0.0,0.0,1.2,0.0
Wine red 13 % v/v,86,360,86.4,0.2,3.0,3.0,0.0,0.0
Wine rosé 11 % v/v,63,264,87.0,0.1,2.5,2.5,0.0,0.0
Wine sekt  12-14 % v/v,64,268,88.8,0.2,0.0,0.0,0.0,0.0
Wine white 115 % v/v,80,336,88.3,0.2,0.0,0.0,0.0,0.0
Wine white sweet 11 % v/v,89,370,92.3,0.2,6.5,6.5,0.0,0.0
Winegums,233,976,41.8,1.5,55.5,55.5,0.2,0.0
Worcestershire sauce,67,284,85.1,2.0,9.5,9.5,2.4,0.0
Yam,107,450,71.0,2.0,22.5,22.5,0.2,3.3
Yeast bakers fresh,88,372,74.0,16.5,1.0,1.0,0.5,7.0
Yeast dried,406,1697,0.0,47.9,34.5,34.5,4.2,18.0
Yeast extract,236,989,39.8,42.0,14.0,14.0,0.4,2.8
Yeast extract spread Marmite,240,1003,38.5,43.0,15.0,15.0,0.0,2.5
Yogurt Bulgarian full fat,84,353,83.5,4.5,6.5,6.5,4.5,0.0
Yogurt Bulgarian no-fat,59,246,84.7,4.8,7.5,7.5,1.0,0.0
Yogurt Greek plain,58,243,84.9,10.2,3.5,3.5,0.4,0.0
Yogurt drink mixed fruit varieties,37,155,89.5,4.0,4.0,4.0,0.5,0.0
Yogurt drink plain,69,292,81.9,3.0,14.0,14.0,0.1,0.0
Yogurt mixed fruit varieties full fat,96,406,77.9,3.9,14.5,14.5,2.5,0.2
Yogurt plain full fat,65,271,86.2,3.8,4.5,4.5,3.5,0.0
Yogurt plain no-fat,33,138,90.0,3.4,4.5,4.5,0.1,0.0
Yogurt plain reduced fat,49,207,88.7,3.5,5.2,5.2,1.6,0.0
Yogurt vanilla flavor reduced fat ,80,335,80.9,3.2,13.5,13.5,1.4,0.0
Zucchini raw,27,115,91.6,1.8,4.5,4.5,0.0,1.1
wodka 80% proof,64,268,99.0,0.0,0.0,0.0,0.0,0.0
